subject	day	ado_mean_alpha	ado_mean_beta	ado_mean_gamma	ado_sd_alpha	ado_sd_beta	ado_sd_gamma	n_refits	converged	alpha_2.5%	alpha_25%	alpha_50%	alpha_75%	alpha_97.5%	alpha_mean	alpha_n_eff	alpha_Rhat	alpha_sd	alpha_se_mean	beta_2.5%	beta_25%	beta_50%	beta_75%	beta_97.5%	beta_mean	beta_n_eff	beta_Rhat	beta_sd	beta_se_mean	loggamma_2.5%	loggamma_25%	loggamma_50%	loggamma_75%	loggamma_97.5%	loggamma_mean	loggamma_n_eff	loggamma_Rhat	loggamma_sd	loggamma_se_mean
SMO19201	25	0.7947000738238299	0.58907405075875	0.51310786001802	0.032268742453321	0.052193319570627	0.10119040639237	1	TRUE	0.7407604542295662	0.8996086948867228	1.0036580917501092	1.1026418921066246	1.2157693540257453	0.9970302018956205	1686.5533285150043	1.0047105886164052	0.13147984438841728	0.003201541548917357	0.14699605991657777	0.4236799812914641	0.5120182651536238	0.5885182060852902	0.7266186753848711	0.49313463515528827	1593.9889255946969	1.0015437994054897	0.1513473935215923	0.0037908124311600722	-3.9269626633887285	-3.385496914767815	-2.705894711070425	-1.9529694296213753	-0.6868257669205627	-2.6085189622290477	1632.2310868505888	1.0037785613514802	0.9047180124347071	0.022393522552036967
SMO19201	28	0.7887035275958599	0.46492079459991	0.51963459961856	0.04619371642114701	0.12229741156372	0.12156691301817	1	TRUE	0.7492932594132005	0.9233050710456532	1.031540998514578	1.1251507401521899	1.2322274853707194	1.019711306751428	1529.0268163169324	1.0016140556678517	0.1313743488918301	0.003359719542372548	-0.13421419799698805	0.27994385199289074	0.4085679801659068	0.5148995516973256	0.6824967112434834	0.3751022565167491	1455.2516331529598	1.0012790671460337	0.21606569734758688	0.005663915636673727	-3.952876809280018	-3.479286910610363	-2.8879417615353615	-2.1809500701068227	-0.9267402034770502	-2.7684987374545678	1455.2597028475575	1.001503020470056	0.8455933393266433	0.022166202764568172
SMO19202	1	0.99995407843159	0.79997800595045	0.50003534382598	0.0031761118853659	0.0025309776044697	0.0045329170567231	1	TRUE	0.9154008365363474	0.999034557873808	1.073010700161889	1.175334757624131	1.3081309898013318	1.088958876378314	1265.3857496983603	1.001807918945136	0.1113864204236135	0.003131271879333644	0.6888015985309958	0.7964796851170196	0.8383010704499853	0.8802369184482164	0.97739547777595	0.8377728885536486	2020.3048172279316	1.000250903149148	0.07080834858570423	0.0015753462231006183	-3.892642389659441	-2.9649524161265317	-2.1376655421507995	-1.4705275946440945	-0.6151668055023822	-2.2082557088819494	1304.5446981458674	1.0014548433802875	0.9294369484241574	0.025733001847662033
SMO19202	2	0.7982393814387	0.79850695029003	0.50275809735334	0.018831076182904	0.017574830551485	0.03982979713023	1	TRUE	0.7899540286453349	0.9338549577077211	1.0263168020706899	1.118837460465178	1.247690349912009	1.0247959508036426	1362.3676340284583	1.0017307871669432	0.12386664586517682	0.003355886151280556	0.7211590061715164	0.8242438592822531	0.8859731207738498	0.9484889625949084	1.0713590884531992	0.8878205291663717	1635.1506864754688	1.0016042396230325	0.09038736458114767	0.0022352640499987654	-3.911283628965134	-3.2237117183176665	-2.6056921456318003	-1.9708713704963914	-1.0111860586034123	-2.574291779113585	1336.1027926316585	1.0018256126018052	0.8042372441692772	0.022002105638062004
SMO19202	3	0.8000373121064499	0.60003696518766	0.5003025596237	0.0033653329977786	0.003456938040968	0.012301772700176	1	TRUE	1.007565037940479	1.1973314265351178	1.2899698913940787	1.3757483209640373	1.5249677605761665	1.2828792404263112	1124.5334611897583	1.0037270342105313	0.13154283883161041	0.003922663178581591	0.6874973540108976	0.8063975467799459	0.8523038315531798	0.890661048707128	0.945354927379897	0.8434489295011472	1174.4387252661184	1.0039927974637195	0.0660038286571427	0.0019259896400944995	-3.937565236446322	-3.4405223203767297	-2.9383559498744054	-2.407905754530863	-1.4157368024507977	-2.890699060345879	1200.092701816681	1.0028526332760772	0.680774407484933	0.01965150533133202
SMO19202	4	0.7999177291232901	0.7999675982235099	0.50014320803197	0.0042553494623191	0.0042894293083671	0.010225738523743	1	TRUE	0.7970635898487402	0.9565967023112857	1.0667858851192475	1.173807926503398	1.300091354507438	1.0626532111840978	1231.5417026599184	1.004346121480528	0.13939960840343446	0.003972253830174479	0.7802746723158897	0.8938229127918003	0.9443038336748608	0.9901217403352531	1.0671437446423102	0.9388687730474387	1028.5228694381285	1.0055533522560354	0.07676869691074799	0.002393741187491573	-3.932179745893565	-3.334263310030799	-2.6312321021684273	-1.8813218240081806	-0.7491100443532289	-2.5627687106804595	1417.782440644563	1.0032651997677025	0.9051616641722898	0.02403927444330653
SMO19202	5	0.99999999956437	0.79999999830652	0.50042017204414	2.7411690318696e-5	4.2365894093432e-5	0.014488743150288	1	TRUE	0.8757981798044226	0.9158913553862358	0.9474045175727049	0.9941258266172086	1.1810023854934386	0.9665903590605236	557.7122867304124	1.008699956703094	0.07692871229851139	0.00325749199173015	0.7058638801982658	0.7289836858318215	0.746153478896106	0.7709770088961487	0.860516539759011	0.7551765559774032	567.5885200603109	1.0084303751185313	0.038880653490965505	0.0016319872230664187	-2.3610299584221277	-0.5431180935110503	0.10419370627274471	0.6190822516382197	1.3719138678305953	-0.03903653779260722	575.7937064843464	1.0089178417557594	0.9266268600490626	0.03861636831783413
SMO19202	7	1.1999705963151	-0.32398137582992	0.50011253297155	0.0024249327118892	0.44825079789784	0.0075016431173822	1	TRUE	1.1048861896644724	1.131854966563774	1.1635373089921774	1.2193834464848017	1.3869707395217803	1.186746774542782	950.8499595429857	1.0067413035167625	0.07420081101471733	0.0024063159844957323	-2.9300493986156884	-2.324472598965558	-1.617127853321878	-0.829934187956597	0.2311531324317888	-1.5370574698356572	1107.995566320763	1.0023526689786415	0.9176630123467107	0.027568568502199534	-3.498638906966013	-2.105871719407674	-1.3109819900877986	-0.587659007212538	0.5927460620520284	-1.3529879549383466	963.6922367002209	1.0067301675108007	1.0611796713483412	0.03418375298390144
SMO19202	8	0.99999992406187	0.7999999405995999	0.50000126216525	1.2955984167213e-4	1.2490143265352e-4	7.9565330655798e-4	1	TRUE	0.9975618779721094	1.1152588838340753	1.198686559615848	1.2766153932405988	1.3757864508820046	1.1947082614991666	1614.886517962297	1.0019106205103852	0.10447253729250587	0.0025997473130132164	0.7214488298029135	0.8299831655879468	0.8788999195258788	0.9254663278278565	1.0120277964621962	0.8763312332234205	2002.6992418150478	1.001591198431706	0.0731174155911341	0.0016338529467127291	-3.937546806605245	-3.411267528765412	-2.8655264532072167	-2.212469977320324	-1.2485517928725975	-2.781564494373289	1642.2173215123837	1.0012477723847473	0.7617188529555171	0.018796603934658106
SMO19202	9	0.72349088397146	0.24941160781156	0.50709841882069	0.098476559153295	0.22198050564822	0.06068025173531598	1	TRUE	0.9678181131778051	1.1987614235320585	1.3342665215311347	1.4667539249779973	1.6462489562067384	1.3286307898847525	1187.2959582458852	1.0018816306413767	0.18214533583272777	0.005286138772540912	0.011018664678221934	0.5046522374907678	0.6848194702317747	0.8056218207774879	0.909503928929982	0.6253918619573913	1072.7311589269752	1.0020251013315393	0.24333386677769264	0.0074294576208120845	-3.969631985233571	-3.7368644497149046	-3.42917255841618	-3.0195990277468745	-2.102641465909257	-3.32278399516367	1742.2384248675125	1.0001806552755659	0.5144965233963924	0.012326184117398924
